----------------------------------------------
| ThalamusMaster 2021/2/6 - 14:31 - AGENT-MJ |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
JA	player0_player1_player2	2	915.5
JA	player1_player0_player2	3	1397.0
>GB	gazers_pair	max_R	max_lag_adj
MUTUAL_GAZE	player2_player0	0.469357173643	0.0
MUTUAL_GAZE	player2_player1	0.572631623947	0.0
MUTUAL_GAZE	player0_player1	0.316700698229	-11.0
JA_mainscreen	player2_player0	0.660594803105	1.0
JA_mainscreen	player2_player1	0.777803224412	1.0
JA_mainscreen	player0_player1	0.519946111222	37.0
JA_player1	player2_player0	0.427760123672	1.0
JA_player0	player2_player1	0.540625752591	-18.0
JA_player2	player0_player1	0.427868669287	20.0
----------------------------------------------
| ThalamusMaster 2021/2/6 - 17:29 - AGENT-MJ |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
player2	player2	3	1457.6666666666667
player2	mainscreen	21	3474.3809523809523
player2	player0	15	1904.2666666666667
player2	player1	16	1281.375
player2	elsewhere	0	0
player0	player2	9	1637.2222222222222
player0	mainscreen	28	1821.0357142857142
player0	player0	0	0
player0	player1	3	1201.0
player0	elsewhere	30	1902.3666666666666
player1	player2	16	2037.6875
player1	mainscreen	19	3507.2631578947367
player1	player0	9	2121.8888888888887
player1	player1	0	0
player1	elsewhere	7	1208.7142857142858
>cooccurrenceGazeBehavior	sequence	num_behav	avg_dur
Total_MT	player2_player0	9	1310.5555555555557
MT	player2_player0	5	808.0
MT	player0_player2	4	1938.75
Total_MT	player2_player1	13	1067.0
MT	player2_player1	1	1759.0
MT	player1_player2	12	1009.3333333333334
Total_MT	player0_player1	2	1218.5
MT	player0_player1	2	1218.5
MT	player1_player0	0	nan
Total_JA	player2_player0_mainscreen	28	1274.142857142857
JA	player2_player0_mainscreen	15	1411.2
JA	player0_player2_mainscreen	13	1116.0
Total_JA	player2_player1_mainscreen	19	2803.5789473684213
JA	player2_player1_mainscreen	10	3464.8
JA	player1_player2_mainscreen	9	2068.8888888888887
Total_JA	player0_player1_mainscreen	23	1227.3478260869565
JA	player0_player1_mainscreen	9	1821.4444444444443
JA	player1_player0_mainscreen	14	845.4285714285714
Total_JA	player2_player0_player1	3	404.0
JA	player2_player0_player1	1	2.0
JA	player0_player2_player1	2	605.0
Total_JA	player2_player1_player0	9	1323.2222222222222
JA	player2_player1_player0	3	1468.6666666666667
JA	player1_player2_player0	6	1250.5
Total_JA	player0_player1_player2	5	1431.2
JA	player0_player1_player2	2	777.0
JA	player1_player0_player2	3	1867.3333333333333
>GB	gazers_pair	max_R	max_lag_adj
