25/09/2023 13:22:49 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:22:50 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:22:51 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:22:52 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:22:53 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:22:54 P0 mainscreen P1 mainscreen P2 tablet Game
25/09/2023 13:22:55 P0 mainscreen P1 mainscreen P2 tablet Game
25/09/2023 13:22:56 P0 mainscreen P1 mainscreen P2 tablet Game
25/09/2023 13:22:57 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:22:58 P0 mainscreen P1 mainscreen P2 player1 NextLevel
25/09/2023 13:22:59 P0 mainscreen P1 mainscreen P2 player1 NextLevel
25/09/2023 13:23:00 P0 mainscreen P1 mainscreen P2 player0 NextLevel
25/09/2023 13:23:01 P0 mainscreen P1 mainscreen P2 player0 NextLevel
25/09/2023 13:23:02 P0 mainscreen P1 mainscreen P2 player0 NextLevel
25/09/2023 13:23:03 P0 mainscreen P1 mainscreen P2 player1 NextLevel
25/09/2023 13:23:04 P0 mainscreen P1 mainscreen P2 mainscreen NextLevel
25/09/2023 13:23:05 P0 mainscreen P1 mainscreen P2 mainscreen NextLevel
25/09/2023 13:23:06 P0 mainscreen P1 mainscreen P2 tablet NextLevel
25/09/2023 13:23:07 P0 mainscreen P1 mainscreen P2 tablet NextLevel
25/09/2023 13:23:08 P0 mainscreen P1 mainscreen P2 tablet NextLevel
25/09/2023 13:23:09 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:23:10 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:23:11 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:23:12 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:23:13 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:23:14 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:23:15 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:23:16 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:23:17 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:23:18 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:23:19 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:23:20 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:23:21 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:23:22 P0 mainscreen P1 mainscreen P2 player0 Wait
25/09/2023 13:23:23 P0 mainscreen P1 mainscreen P2 player0 Game
25/09/2023 13:23:24 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:23:25 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:23:26 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:23:27 P0 mainscreen P1 mainscreen P2 player1 Wait
25/09/2023 13:23:28 P0 mainscreen P1 mainscreen P2 player1 Game
25/09/2023 13:23:29 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:23:30 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:23:31 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:23:32 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:23:33 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:23:34 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:23:35 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:23:36 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:23:37 P0 mainscreen P1 mainscreen P2 player1 Mistake
25/09/2023 13:23:38 P0 mainscreen P1 mainscreen P2 player1 Mistake
